long,latt,location
1.08199,52.35263,"1.08199,52.35263"
0.25528,52.40578,"0.25528,52.40578"
0.02756,52.18509,"0.02756,52.18509"
0.15099,52.14934,"0.15099,52.14934"
0.14077,52.22715,"0.14077,52.22715"
0.48483,52.09045,"0.48483,52.09045"
0.1817,52.18644,"0.1817,52.18644"
0.23811,52.12267,"0.23811,52.12267"
0.67448,52.38354,"0.67448,52.38354"
0.67448,52.38354,"0.67448,52.38354"
0.7253,52.23633,"0.7253,52.23633"
0.18953,52.1725,"0.18953,52.1725"
0.18953,52.1725,"0.18953,52.1725"
1.11901,52.37174,"1.11901,52.37174"
-0.02597,52.25972,"-0.02597,52.25972"
0.73086,52.2298,"0.73086,52.2298"
0.27468,52.4141,"0.27468,52.4141"
0.02111,52.28952,"0.02111,52.28952"
0.02111,52.28952,"0.02111,52.28952"
0.87668,52.21188,"0.87668,52.21188"
0.87668,52.21188,"0.87668,52.21188"
0.133,52.20498,"0.133,52.20498"
0.52913,52.41192,"0.52913,52.41192"
0.22156,52.12535,"0.22156,52.12535"
0.18877,52.06251,"0.18877,52.06251"
1.00764,52.34383,"1.00764,52.34383"
0.1356,52.1953,"0.1356,52.1953"
0.91714,52.28381,"0.91714,52.28381"
0.91764,52.23514,"0.91764,52.23514"
0.91681,52.23538,"0.91681,52.23538"
0.40051,52.31966,"0.40051,52.31966"
0.40051,52.31966,"0.40051,52.31966"
0.18311,52.1946,"0.18311,52.1946"
0.15904,52.16877,"0.15904,52.16877"
0.19677,52.26389,"0.19677,52.26389"
0.23443,52.02214,"0.23443,52.02214"
-0.06764,52.21636,"-0.06764,52.21636"
0.01826,52.2548,"0.01826,52.2548"
0.17584,52.21201,"0.17584,52.21201"
0.6561,52.39133,"0.6561,52.39133"
0.74495,52.41462,"0.74495,52.41462"
0.22172,52.35245,"0.22172,52.35245"
0.16274,52.2123,"0.16274,52.2123"
0.11996,52.21432,"0.11996,52.21432"
0.11996,52.21432,"0.11996,52.21432"
0.25239,52.40747,"0.25239,52.40747"
0.46105,52.35131,"0.46105,52.35131"
0.45425,52.07398,"0.45425,52.07398"
0.18877,52.06251,"0.18877,52.06251"
-0.01223,52.04727,"-0.01223,52.04727"
0.39806,52.25995,"0.39806,52.25995"
0.40573,52.24323,"0.40573,52.24323"
0.75496,52.42626,"0.75496,52.42626"
0.18877,52.06251,"0.18877,52.06251"
0.7514,52.24956,"0.7514,52.24956"
0.37113,52.30997,"0.37113,52.30997"
0.14695,52.20973,"0.14695,52.20973"
0.11154,52.16653,"0.11154,52.16653"
0.5792,52.24891,"0.5792,52.24891"
0.11137,52.20511,"0.11137,52.20511"
0.71323,52.27004,"0.71323,52.27004"
0.13074,52.16329,"0.13074,52.16329"
0.18625,52.203,"0.18625,52.203"
0.18634,52.2027,"0.18634,52.2027"
-0.00888,52.05711,"-0.00888,52.05711"
0.30661,52.18816,"0.30661,52.18816"
0.11051,52.22885,"0.11051,52.22885"
0.11155,52.22858,"0.11155,52.22858"
-0.01741,52.04898,"-0.01741,52.04898"
-0.05448,52.04568,"-0.05448,52.04568"
0.33824,52.33402,"0.33824,52.33402"
0.33824,52.33402,"0.33824,52.33402"
0.36563,52.24644,"0.36563,52.24644"
0.7209,52.4041,"0.7209,52.4041"
-0.00904,52.26906,"-0.00904,52.26906"
