,Incident Number,long,latt,PC Sector
527,26792271,-5.20934,49.99258,TR12 7
528,26792406,-1.78072,52.45406,B26 3
529,26792432,-3.53833,57.36785,PH26 3
530,26792469,0.07554,51.54753,IG1 2
531,26792728,-2.05158,52.51449,DY4 7
532,26792770,0.18696,51.52482,RM13 8
533,26792817,-1.48343,52.45403,CV6 6
534,26792935,-3.22491,57.63375,IV30 8
535,26793000,-1.72131,53.776340000000005,BD4 9
536,26793039,-1.2819,51.706759999999996,OX13 6
537,26793676,-1.5123,53.82424,LS8 4
538,26793912,-0.87649,51.41522,RG41 4
539,26794122,-3.04977,53.38385,CH43 2
540,26794546,-1.37437,50.96143,SO53 3
541,26794560,-1.30807,59.9819,ZE2 9
542,26794676,-2.921,54.886419999999994,CA1 2
543,26795024,-2.00572,52.32506,B60 1
544,26795102,0.09991,52.19911,CB3 9
545,26795116,-1.73104,52.45149,B26 3
546,26795125,-1.4837,53.43128000000001,S5 9
547,26795777,-1.36406,50.91667,SO18 4
548,26795817,-1.66153,53.867940000000004,LS19 7
549,26795846,-3.02978,53.7976,FY4 4
550,26796211,0.4415,52.76809,PE30 3
551,26796300,-2.18661,51.79403,GL6 6
552,26796678,-2.21294,53.003769999999996,ST4 6
553,26796717,-2.58227,53.4121,WA2 9
554,26796856,1.05044,52.00277,IP9 2
555,26796875,-3.424,53.32901,LL19 8
556,26796956,-0.26505,51.54317,NW10 8
557,26796976,-1.75043,53.6362,HD5 8
558,26797136,-0.62065,54.487559999999995,YO21 3
559,26797379,0.84652,51.14096,TN23 4
560,26797865,-1.54288,53.807280000000006,LS7 1
561,26797906,-2.49743,53.74779,BB2 1
562,26797936,-1.07259,53.45466999999999,DN11 9
563,26797987,-0.7086,51.6006,HP10 9
564,26798197,-1.1836,52.90818,NG11 8
565,26798287,-0.16781,51.52943,NW8 7
566,26798313,-0.84211,52.27146,NN3 8
567,26798483,-0.9767,51.4528,RG1 7
568,26798593,-2.17305,53.416990000000006,SK4 2
569,26798675,-2.71327,52.075340000000004,HR1 1
570,26798714,-3.00857,53.37628,CH42 1
571,26798880,0.09942,51.45602,DA16 2
572,26798891,0.31914,51.4872,RM16 6
573,26799166,-4.35991,55.808130000000006,G53 7
574,26799169,-2.20016,57.2037,AB21 0
575,26799221,-1.44798,55.01039,NE29 0
576,26799283,1.41701,51.33184,CT11 9
577,26799722,1.71895,52.55927,NR31 7
578,26799740,-1.78948,52.15826,CV37 8
579,26799793,-1.60342,54.97,NE1 2
